BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT,AIN,LADBS Building Category
9301 N TAMPA AVE,393304908994,150.8,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Resource Energy Systems, LLC",261000,Not Available,Not Available,1,0,232.3,91324,2023,Parking,16.3,45.6,232.3,16.2,45.2,1971,006,"100,000+ sqft"
11631 VICTORY BLVD,445073890681,250.8,COMPLIED,28.9,28.9,30.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",46260.0,Not Available,Not Available,1.0,100.0,Not Available,91606,2018,Office,82.4,192.2,612511.0,82.4,192.2,1955,029,"20,000 to 49,999 sqft"
9301 N TAMPA AVE,393610909764,2050.7,COMPLIED,-7.3,-7.3,Not Available,No,Not Available,Not Available,"Resource Energy Systems, LLC",511340,16668.5,32.6,1,95,Not Available,91324,2023,Enclosed Mall,56.5,158.3,16668.5,56.1,157,1971,004,"100,000+ sqft"
9301 N TAMPA AVE,393610909764,2654.6,COMPLIED,20.9,20.9,Not Available,No,Not Available,Not Available,GGP Inc.,511340.0,24285.9,47.49,1.0,95.0,Not Available,91324,2018,Enclosed Mall,73.7,206.4,24285.9,72.0,201.6,1971,004,"100,000+ sqft"
2801 S MAIN ST,479777830887,5.44,NOT COMPLIED,-57.7,-57.7,86,No,Not Available,Not Available,Main 28 LLC,27700,20.3,0.73,1,100,Not Available,90007,2024,Non-Refrigerated Warehouse,3.4,9.6,20.3,3.3,9.1,1946,002,"20,000 to 49,999 sqft"
9301 N TAMPA AVE,393304908994,213.0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,GGP Inc.,261000.0,Not Available,Not Available,1.0,0.0,312.1,91324,2017,Parking,23.2,64.9,312.1,22.6,63.2,1971,006,"100,000+ sqft"
6840 FOOTHILL BLVD,999000000105,204.24,COMPLIED,77.6,77.6,Not Available,No,Not Available,Not Available,Bay Efficiency,27000,Not Available,Not Available,1,100,Not Available,91042,2022,Other - Recreation,134.1,199,964.2,142.1,207.3,1988,008,"20,000 to 49,999 sqft"
2030 E 7TH ST,999000000420,,NOT COMPLIED,,,,,,,,,,,,,,90021,2021,,,,,,,,010,"50,000 to 99,999 sqft"
9301 N TAMPA AVE,393610909764,1985.99,COMPLIED,-4,-4,Not Available,No,Not Available,Not Available,"Resource Energy Systems, LLC",511340,13751.1,26.89,1,95,Not Available,91324,2024,Enclosed Mall,58.5,163.9,13751.1,60.3,168.9,1971,004,"100,000+ sqft"
25825 S VERMONT AVE,472262746187,1747.1,NOT COMPLIED,108.4,108.4,1,No,Not Available,Not Available,Kaiser Foundation Hospitals,108702,0,0,1,100,Not Available,90710,2023,Medical Office,277.2,423.7,0,276.5,421.7,2015,040,"50,000 to 99,999 sqft"
318 S KINGSLEY DR,470007847429,39.89,COMPLIED,-41.9,-41.9,98,No,Not Available,Not Available,"RPM Management, Inc",41115,Not Available,Not Available,0,100,Not Available,90020,2023,Multifamily Housing,17,47.5,2274.1,17,47.5,1933,010,"20,000 to 49,999 sqft"
9301 N TAMPA AVE,393304908994,117,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Resource Energy Systems, LLC",261000,Not Available,Not Available,1,0,164.5,91324,2020,Parking,13.5,37.9,164.5,13.5,37.9,1971,006,"100,000+ sqft"
2030 E 7TH ST,999000000420,,NOT COMPLIED,,,,,,,,,,,,,,90021,2024,,,,,,,,010,"50,000 to 99,999 sqft"
3245 WILSHIRE BLVD,473040845155,43.96,COMPLIED,-62.8,-62.8,98,No,Not Available,Not Available,"Vert Energy Group, Inc.",33174,Not Available,Not Available,1,100,Not Available,90010,2023,Office,23.2,63.8,128.7,23.2,63.8,1956,018,"20,000 to 49,999 sqft"
11631 VICTORY BLVD,445073890681,42.9,NOT COMPLIED,-74.4,-74.4,99,No,Not Available,Not Available,"Vert Energy Group, Inc.",46260,Not Available,Not Available,1,100,Not Available,91606,2021,Office,15.7,38.3,240.1,16.1,38.6,1955,029,"20,000 to 49,999 sqft"
11631 VICTORY BLVD,445073890681,40.6,COMPLIED,-89.2,-89.2,100,No,Not Available,Not Available,"Vert Energy Group, Inc.",67810,Not Available,Not Available,1,95,Not Available,91606,2023,Medical Office,9.1,20.7,445.8,8.8,20.5,1955,029,"20,000 to 49,999 sqft"
17433 VANOWEN ST,406494893410,35.83,COMPLIED,-29.2,-29.2,90,No,Not Available,Not Available,"RPM Management, Inc",28288,Not Available,Not Available,1,100,Not Available,91406,2023,Multifamily Housing,22.2,62.1,2720.7,22.2,62.1,1961,044,"20,000 to 49,999 sqft"
611 S NORMANDIE AVE,470559845473,9.63,COMPLIED,-86,-86,100,No,Not Available,Not Available,"RPM Management, Inc",30853,Not Available,Not Available,1,100,Not Available,90005,2023,Multifamily Housing,5.5,15.3,2856.1,5.5,15.3,1948,004,"20,000 to 49,999 sqft"
11631 VICTORY BLVD,445073890681,39.37,COMPLIED,-89.2,-89.2,100,No,Not Available,Not Available,"Vert Energy Group, Inc.",67810,Not Available,Not Available,1,95,Not Available,91606,2024,Medical Office,9.3,21.1,454.8,8.5,20.4,1955,029,"20,000 to 49,999 sqft"
3950 W 8TH ST,466872843586,18.23,COMPLIED,-56,-56,100,No,Not Available,Not Available,"RPM Management, Inc",23400,Not Available,Not Available,1,100,Not Available,90005,2023,Multifamily Housing,13.6,38.2,1330.8,13.6,38.2,1926,011,"20,000 to 49,999 sqft"
922 E E ST,485474740776,Not Available,NOT COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Advanced Compliance,73695,Not Available,Not Available,1,25,Not Available,90744,2024,Non-Refrigerated Warehouse,Not Available,Not Available,752.6,Not Available,Not Available,1999,044,"20,000 to 49,999 sqft"
1612 W PICO BLVD,477517838756,85.11,COMPLIED,123.1,123.1,1,No,Not Available,Not Available,Equitas Academy Charter School,20200,Not Available,Not Available,1,100,Not Available,90015,2024,K-12 School,63.5,177.8,505.7,63.6,178,2020,030,"50,000 to 99,999 sqft"
9301 N TAMPA AVE,393304908994,146.08,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Resource Energy Systems, LLC",261000,Not Available,Not Available,1,0,191.6,91324,2024,Parking,16.9,47.2,191.6,17.4,48.7,1971,006,"100,000+ sqft"
25825 S VERMONT AVE,472262746187,1825.32,NOT COMPLIED,120.8,120.8,1,No,Not Available,Not Available,Kaiser Foundation Hospitals,108702,3755.9,34.55,1,100,Not Available,90710,2024,Medical Office,297.3,444.3,3755.9,296.6,442.2,2015,040,"50,000 to 99,999 sqft"
11939 ALBERS ST,442703884822,23.01,COMPLIED,-51.2,-51.2,100,No,Not Available,Not Available,"RPM Management, Inc",27656,Not Available,Not Available,1,100,Not Available,91607,2023,Multifamily Housing,14.6,40.8,1057.7,14.6,40.8,1961,026,"20,000 to 49,999 sqft"
3972 W 9TH ST,464891842644,18.03,COMPLIED,-63.7,-63.7,100,No,Not Available,Not Available,"RPM Management, Inc",28564,Not Available,Not Available,1,100,Not Available,90019,2023,Multifamily Housing,11,30.9,1979.3,11,30.9,1927,001,"20,000 to 49,999 sqft"
1546 GORDON ST,464981858740,51.44,COMPLIED,-19.6,-19.6,79,No,Not Available,Not Available,Bay Efficiency,24747,Not Available,Not Available,1,100,Not Available,90028,2024,Multifamily Housing,37.9,67.1,949.3,36.9,66,1965,034,"20,000 to 49,999 sqft"
6833 SEPULVEDA BLVD,420516893629,40.99,COMPLIED,-42.1,-42.1,98,No,Not Available,Not Available,"RPM Management, Inc",32082,Not Available,Not Available,1,100,Not Available,91405,2023,Multifamily Housing,22.4,62.6,2923.4,22.4,62.6,1967,010,"20,000 to 49,999 sqft"
2030 E 7TH ST,999000000420,,NOT COMPLIED,,,,,,,,,,,,,,90021,2023,,,,,,,,010,"50,000 to 99,999 sqft"
1845 N GRAMERCY PL,467010860601,19.05,COMPLIED,-64.4,-64.4,100,No,Not Available,Not Available,"RPM Management, Inc",25460,Not Available,Not Available,1,100,Not Available,90028,2023,Multifamily Housing,13.1,36.6,955.3,13.1,36.6,1927,052,"20,000 to 49,999 sqft"
9301 N TAMPA AVE,393304908994,156.6,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Resource Energy Systems, LLC",261000,Not Available,Not Available,1,0,236.3,91324,2022,Parking,17.5,49,236.3,17.3,48.3,1971,006,"100,000+ sqft"
6840 FOOTHILL BLVD,999000000105,200.18,COMPLIED,67.9,67.9,Not Available,No,Not Available,Not Available,Bay Efficiency,27000,Not Available,Not Available,1,100,Not Available,91042,2021,Other - Recreation,129.6,188.1,559.5,125,183.3,1988,008,"20,000 to 49,999 sqft"
1519 N MCCADDEN PL,459392858456,63.88,COMPLIED,-15.8,-15.8,74,No,Not Available,Not Available,"RPM Management, Inc",46984,Not Available,Not Available,1,100,Not Available,90028,2023,Multifamily Housing,23.8,66.6,1963.6,23.8,66.6,1928,020,"20,000 to 49,999 sqft"
9301 N TAMPA AVE,393610909764,2343.0,COMPLIED,6.7,6.7,Not Available,No,Not Available,Not Available,"Resource Energy Systems, LLC",511340.0,21274.0,41.6,1.0,95.0,Not Available,91324,2019,Enclosed Mall,65.0,182.1,21274.0,64.8,181.4,1971,004,"100,000+ sqft"
11631 VICTORY BLVD,445073890681,44.6,COMPLIED,-88,-88,100,No,Not Available,Not Available,"Vert Energy Group, Inc.",67810,Not Available,Not Available,1,95,Not Available,91606,2022,Medical Office,10,24.8,630.6,10.2,23.9,1955,029,"20,000 to 49,999 sqft"
25825 S VERMONT AVE,472262746187,2204.1,NOT COMPLIED,181.4,181.4,1.0,No,Not Available,Not Available,Kaiser Foundation Hospitals,108702.0,0.0,0.0,1.0,100.0,Not Available,90710,2018,Medical Office,354.4,518.8,0.0,347.5,510.4,2015,040,"50,000 to 99,999 sqft"
720 E E ST,484560740860,Not Available,NOT COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Advanced Compliance,105666,Not Available,Not Available,2,75,Not Available,90744,2023,Mixed Use Property,Not Available,Not Available,Not Available,Not Available,Not Available,1989,065,"20,000 to 49,999 sqft"
1470 E 4TH ST,493697837767,270.66,COMPLIED,386.2,386.2,Not Available,No,Not Available,Not Available,Bay Efficiency,50728,Not Available,Not Available,1,100,Not Available,90033,2023,Distribution Center,93.5,257.1,306,97.5,269.5,1946,019,"20,000 to 49,999 sqft"
9301 N TAMPA AVE,393610909764,1740.2,NOT COMPLIED,-7.8,-7.8,Not Available,No,Not Available,Not Available,"Resource Energy Systems, LLC",511340,15597.6,30.5,1,95,Not Available,91324,2021,Enclosed Mall,56.2,157.5,15597.6,56.2,157.5,1971,004,"100,000+ sqft"
2030 E 7TH ST,999000000420,,NOT COMPLIED,,,,,,,,,,,,,,90021,2022,,,,,,,,010,"50,000 to 99,999 sqft"
25825 S VERMONT AVE,472262746187,1791.5,NOT COMPLIED,135.6,135.6,1,No,Not Available,Not Available,Kaiser Foundation Hospitals,108702,Not Available,Not Available,1,100,Not Available,90710,2020,Medical Office,292.3,433.7,Not Available,292.1,433.2,2015,040,"50,000 to 99,999 sqft"
9301 N TAMPA AVE,393304908994,195.3,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,GGP Inc.,261000.0,Not Available,Not Available,1.0,0.0,338.4,91324,2018,Parking,21.2,59.5,338.4,20.8,58.1,1971,006,"100,000+ sqft"
2007 W 3RD ST,479378845355,79.16,COMPLIED,45.9,45.9,6,No,Not Available,Not Available,"RPM Management, Inc",37274,Not Available,Not Available,1,100,Not Available,90057,2023,Multifamily Housing,37.2,104,3390.9,37.2,104,1914,019,"20,000 to 49,999 sqft"
6840 FOOTHILL BLVD,999000000105,200.1,COMPLIED,74.1,74.1,Not Available,No,Not Available,Not Available,Bay Efficiency,27000,Not Available,Not Available,1,100,Not Available,91042,2018,Other - Recreation,131.5,195,945,129.5,192.9,1988,008,"20,000 to 49,999 sqft"
9301 N TAMPA AVE,393304908994,226.9,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,GGP Inc.,261000.0,Not Available,Not Available,1.0,0.0,319.6,91324,2016,Parking,22.9,72.0,319.6,22.5,70.6,1971,006,"100,000+ sqft"
6840 FOOTHILL BLVD,999000000105,200.32,COMPLIED,81.8,81.8,Not Available,No,Not Available,Not Available,Bay Efficiency,27000,Not Available,Not Available,1,100,Not Available,91042,2023,Other - Recreation,137.1,203.6,1027.1,122.4,188.2,1988,008,"20,000 to 49,999 sqft"
2030 E 7TH ST,999000000420,,NOT COMPLIED,,,,,,,,,,,,,,90021,2020,,,,,,,,010,"50,000 to 99,999 sqft"
2030 E 7TH ST,999000000420,,NOT COMPLIED,,,,,,,,,,,,,,90021,2019,,,,,,,,010,"50,000 to 99,999 sqft"
25825 S VERMONT AVE,472262746187,2039.1,NOT COMPLIED,162.5,162.5,1.0,No,Not Available,Not Available,Kaiser Foundation Hospitals,108702.0,0.0,0.0,1.0,100.0,Not Available,90710,2019,Medical Office,328.3,478.2,0.0,328.8,479.8,2015,040,"50,000 to 99,999 sqft"
9301 N TAMPA AVE,393610909764,2895.6,COMPLIED,31.8,31.8,Not Available,No,Not Available,Not Available,GGP Inc.,511340.0,22392.7,43.79,1.0,95.0,Not Available,91324,2017,Enclosed Mall,80.4,225.1,22392.7,78.3,219.3,1971,004,"100,000+ sqft"
2595 S HOOVER ST,112217100419,70.46,COMPLIED,-50.1,-50.1,100,No,Not Available,Not Available,"Conservice, LLC",49190,Not Available,Not Available,1,100,Not Available,90007,2024,Multifamily Housing,25.7,55.6,2889.1,Not Available,Not Available,2017,036,"50,000 to 99,999 sqft"
6710 HAYVENHURST AVE,412912892777,63.85,COMPLIED,-19,-19,78,No,Not Available,Not Available,Greystone,22766,Not Available,Not Available,1,95,Not Available,91406,2024,Multifamily Housing,51.6,81.9,1651,49,79.2,1964,017,"20,000 to 49,999 sqft"
7255 WINNETKA AVE,388924896718,52.96,COMPLIED,-35.9,-35.9,97,No,Not Available,Not Available,Moss and Company,34766,Not Available,Not Available,1,90,Not Available,91306,2024,Multifamily Housing,27.4,57.8,1940.4,27.4,57.8,1983,014,"20,000 to 49,999 sqft"
947 E 4TH ST,490639838365,215.49,COMPLIED,-56.8,-56.8,96,No,05/22/2025,"2025, 2024, 2023, 2022, 2021",Hudson Pacific Properties,131996,Not Available,Not Available,1,100,Not Available,90013,2024,Office,25,66.8,792.3,25.2,67.9,1915,013,"50,000 to 99,999 sqft"
12561 SATICOY ST SOUTH,438558897487,10.4,COMPLIED,-69.8,-69.8,93,No,Not Available,Not Available,"Westco Chemicals, Inc.",31070,Not Available,Not Available,1,100,Not Available,91605,2019,Non-Refrigerated Warehouse,4.9,13.7,40.9,4.9,13.7,1975,029,"20,000 to 49,999 sqft"
300 S SANTA FE AVE,491289838585,996.53,COMPLIED,-29.5,-29.5,92,No,08/27/2025,Not Available,"Conservice, LLC",504880,Not Available,Not Available,1,90,Not Available,90012,2024,Multifamily Housing,35.4,77.1,16569.8,35.4,77.1,2015,900,"100,000+ sqft"
8901 CANOGA AVE,380674907557,113.66,NOT COMPLIED,-22.7,-22.7,64,No,Not Available,Not Available,Re Tech Advisors,154328,Not Available,Not Available,1,100,Not Available,91304,2024,Non-Refrigerated Warehouse,12.9,36.1,662.8,12.9,36.1,1999,020,"100,000+ sqft"
3518 CAHUENGA BLVD WEST,453811871263,41.32,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,KWP Real Estate,86864,Not Available,Not Available,0,0,Not Available,90068,2024,Parking,8.3,23.3,1150.5,8.3,23.3,2005,068,"50,000 to 99,999 sqft"
16400 VENTURA BLVD,413310879883,52.54,COMPLIED,-62.3,-62.3,97,No,Not Available,Not Available,Mark V Business Systems,30000,Not Available,Not Available,1,100,Not Available,91436,2023,Office,31.1,74.6,216.9,30.2,74.3,1963,007,"20,000 to 49,999 sqft"
12251 SATICOY ST,438670897484,24.7,COMPLIED,-50.7,-50.7,Not Available,No,Not Available,Not Available,"Westco Chemicals, Inc.",38680,Not Available,Not Available,2,100,Not Available,91605,2019,Distribution Center,9.3,26.1,555.5,9.3,26,1979,029,"20,000 to 49,999 sqft"
12561 SATICOY ST SOUTH,438558897487,11,COMPLIED,-67.8,-67.8,92,No,Not Available,Not Available,"Westco Chemicals, Inc.",31070,Not Available,Not Available,1,100,Not Available,91605,2021,Non-Refrigerated Warehouse,5.2,14.5,51.9,5.2,14.5,1975,029,"20,000 to 49,999 sqft"
3550 CAHUENGA BLVD WEST,453657871211,116.27,COMPLIED,63.8,63.8,Not Available,No,Not Available,Not Available,KWP Real Estate,25169,Not Available,Not Available,0,100,Not Available,90068,2024,Vehicle Dealership,80.8,226.3,723.4,80.8,226.3,2005,056,"20,000 to 49,999 sqft"
12251 SATICOY ST,438670897484,29.7,COMPLIED,-40.7,-40.7,Not Available,No,Not Available,Not Available,"Westco Chemicals, Inc.",38680,Not Available,Not Available,2,100,Not Available,91605,2021,Distribution Center,11.2,31.4,222.5,11.2,31.4,1979,029,"20,000 to 49,999 sqft"
755 S LOS ANGELES ST,485285837867,54.55,COMPLIED,-78.6,-78.6,Not Available,No,Not Available,Not Available,Charles Dunn Company,107146,87.4,0.82,1,0,Not Available,90014,2024,Office,8.9,24.9,87.4,8.9,24.9,2021,013,"50,000 to 99,999 sqft"
1861 S BUNDY DR,423017835489,157.17,COMPLIED,9.5,9.5,42,No,Not Available,Not Available,Hudson Pacific Properties,33137,Not Available,Not Available,1,100,Not Available,90025,2024,Office,71.5,200.1,271.4,73.3,205.4,1958,011,"20,000 to 49,999 sqft"
1815 MORTON AVE,485694852990,83.22,COMPLIED,-62.5,-62.5,100,No,10/30/2024,Not Available,"Conservice, LLC",54433,Not Available,Not Available,3,95,Not Available,90026,2024,Multifamily Housing,28.4,39.3,3399.9,27,37.9,1972,026,"50,000 to 99,999 sqft"
601 WILSHIRE BLVD,484045840135,539.84,COMPLIED,32.1,32.1,Not Available,No,Not Available,Not Available,611 Wilshire Properties,172067,812.5,4.72,1,60,Not Available,90017,2024,Office,54.9,153.7,812.5,55.6,155.5,1952,021,"100,000+ sqft"
1933 S BUNDY DR,423330835168,488.2,COMPLIED,317.9,317.9,Not Available,No,Not Available,Not Available,Hudson Pacific Properties,34143,Not Available,Not Available,1,100,Not Available,90025,2024,Office,235.1,486.4,97.4,238.7,496.6,1953,010,"20,000 to 49,999 sqft"
561 S SPRING ST,485545839368,548.14,COMPLIED,19.3,19.3,24,No,Not Available,Not Available,"Conservice, LLC",176758,Not Available,Not Available,1,95,Not Available,90013,2024,Multifamily Housing,56,112.6,3.4,56,112.6,1910,014,"100,000+ sqft"
1725 BUTLER AVE,425336838293,45.42,COMPLIED,-25.1,-25.1,86,No,Not Available,Not Available,"Vert Energy Group, Inc.",30289,Not Available,Not Available,1,100,Not Available,90025,2024,Multifamily Housing,27.2,53.2,896.9,26.4,52.5,1980,068,"20,000 to 49,999 sqft"
1202 MATEO ST,491413833168,13.26,COMPLIED,-28.7,-28.7,67,No,Not Available,Not Available,UL Verification Services Inc.,22000,59.1,2.69,1,100,Not Available,90021,2024,Distribution Center,10.5,29.5,59.1,10.5,29.5,1983,001,"20,000 to 49,999 sqft"
1901 S BUNDY DR,423134835367,151.37,COMPLIED,12.8,12.8,40,No,Not Available,Not Available,Hudson Pacific Properties,30582,907.5,29.67,1,100,Not Available,90025,2024,Office,74.6,208.8,907.5,74.6,208.8,1950,014,"20,000 to 49,999 sqft"
12101 W BLUFF CREEK DR,439064815281,90.15,COMPLIED,-11.7,-11.7,61,No,02/02/2022,Not Available,Invesco,37059,191.5,5.17,1,100,Not Available,90094,2024,Office,42.6,119.2,191.5,42.6,119.2,1950,103,"20,000 to 49,999 sqft"
16400 VENTURA BLVD,413310879883,48.34,COMPLIED,-64.7,-64.7,98,No,Not Available,Not Available,Mark V Business Systems,30000,Not Available,Not Available,1,100,Not Available,91436,2024,Office,28.6,70.1,220.7,27.5,70,1963,007,"20,000 to 49,999 sqft"
12450 FOOTHILL BLVD,438475926417,132.24,COMPLIED,33.6,33.6,30,No,Not Available,Not Available,"Unire Real Estate Group, Inc.",99966,Not Available,Not Available,1,0,Not Available,91342,2024,Non-Refrigerated Warehouse,20,55.6,410.7,20,55.6,1985,031,"50,000 to 99,999 sqft"
600 S LA FAYETTE PARK PL,476213845192,88.42,COMPLIED,-61.6,-61.6,95,No,Not Available,Not Available,"Vert Energy Group, Inc.",69645,Not Available,Not Available,1,100,Not Available,90057,2024,Office,22.2,62.2,834.8,22.2,62.2,1952,003,"50,000 to 99,999 sqft"
700 WILSHIRE BLVD,483655840197,1089.43,COMPLIED,483.4,483.4,Not Available,No,Not Available,Not Available,700 Wilshire Properties,78611,1391.4,17.7,1,70,Not Available,90017,2024,Office,242.5,678.9,1391.4,242.5,678.9,1965,020,"50,000 to 99,999 sqft"
1821 S MAIN ST,481414833948,126.44,COMPLIED,-44.8,-44.8,99,No,Not Available,Not Available,"Vert Energy Group, Inc.",97309,Not Available,Not Available,1,100,Not Available,90015,2024,Multifamily Housing,23.7,43.3,7571,23.4,43,1912,005,"50,000 to 99,999 sqft"
12105 W BLUFF CREEK DR,438938815268,78.44,COMPLIED,-53.7,-53.7,91,No,01/06/2025,Not Available,Invesco,73534,Not Available,Not Available,1,95,Not Available,90094,2024,Office,18.7,52.3,Not Available,18.8,52.8,1942,103,"50,000 to 99,999 sqft"
3425 S MOTOR AVE,112217100451,173.29,COMPLIED,43,43,Not Available,No,Not Available,Not Available,"Conservice, LLC",34012,Not Available,Not Available,1,100,Not Available,90034,2024,Multifamily Housing,92.8,168.9,19.4,92.8,168.9,2014,028,"50,000 to 99,999 sqft"
731 S SPRING ST,484894838516,37.15,COMPLIED,-56.1,-56.1,92,No,09/25/2025,Not Available,UL Verification Services Inc.,47268,Not Available,Not Available,1,80,Not Available,90014,2024,Office,13.8,38.5,320.1,13.8,38.5,1925,022,"20,000 to 49,999 sqft"
235 S SAN PEDRO ST,488164840146,,NOT COMPLIED,,,,,,,,,,,,,,90012,2017,,,,,,,,023,"100,000+ sqft"
235 S SAN PEDRO ST,488164840146,,NOT COMPLIED,,,,,,,,,,,,,,90012,2024,,,,,,,,023,"100,000+ sqft"
1700 S SAWTELLE BLVD,426402839001,,NOT COMPLIED,,,,,,,,,,,,,,90025,2024,,,,,,,,030,"100,000+ sqft"
7526 N LAUREL CANYON BLVD,442013898115,90,COMPLIED,-17.7,-17.7,76,No,Not Available,Not Available,"Vert Energy Group, Inc.",44952,Not Available,Not Available,1,100,Not Available,91605,2020,Multifamily Housing,35,70.3,2817.9,35.4,70.8,2007,045,"50,000 to 99,999 sqft"
1550 N EL CENTRO AVE,112217100554,767.86,COMPLIED,-22.7,-22.7,68,No,10/10/2023,"2023, 2022, 2021, 2020, 2018","Kilroy Realty, LP",264430,2197,8.31,1,100,Not Available,90028,2024,Office,43.8,122.5,2197,43.8,122.5,2015,044,"100,000+ sqft"
4848 W WILSHIRE BLVD,459897845051,,NOT COMPLIED,,,,,,,,,,,,,,90010,2023,,,,,,,,019,"50,000 to 99,999 sqft"
13045 W PACIFIC PROMENADE,432959812718,,NOT COMPLIED,,,,,,,,,,,,,,90094,2021,,,,,,,,133,"100,000+ sqft"
16130 VENTURA BLVD,414918879586,339,COMPLIED,-10.7,-10.7,58,No,Not Available,Not Available,"Vert Energy Group, Inc.",91051,Not Available,Not Available,1,100,Not Available,91436,2018,Office,56.2,157.2,1679.2,56.7,158.6,2009,047,"50,000 to 99,999 sqft"
